Project Code as Word,PQ # as Word,Country as Word,Managed By as Word,Fulfill Via as Word,Vendor INCO Term as Word,Shipment Mode as Word,PQ First Sent to Client Date as Word,PQ First Sent to Client Date Value,PO Sent to Vendor Date as Word,PO Sent to Vendor Date Value,Scheduled Delivery Date Value,Delivered to Client Date Value,Delivery Recorded Date Value,Product Group as Word,Sub Classification as Word,Vendor as Word,Item Description as Word,Molecule/Test Type as Word,Brand as Word,Dosage as Word,Dosage Form as Word,Unit of Measure (Per Pack) Value,Line Item Quantity Value,Line Item Value Value,Pack Price Value,Unit Price Value,Manufacturing Site as Word,First Line Designation as Word,Weight (Kilograms) as Word,Weight (Kilograms) Value,Freight Cost (USD) as Word,Freight Cost (USD) Value,Line Item Insurance (USD) Value,PO / SO # Type as Word,PO / SO # ID Value,ASN/DN # Type as Word,ASN/DN # ID Value,IsDefective
16,1,11,1,1,1,1,1,-1,-1,1217203200,1229299200,1229299200,1229299200,4,6,24,37,26,23,-1,1,25,108,4050.0,37.5,1.5,25,1,-1,34.0,-1,648.27,7.94,1,27680,1,2910,0
12,1,9,1,1,1,1,1,-1,-1,1217376000,1225670400,1223856000,1223856000,1,1,13,16,14,10,-1,1,20,5958,160866.0,27.0,1.35,13,1,-1,2147.0,-1,11066.17,257.39,1,27800,1,2592,0
12,1,9,1,1,1,1,1,-1,-1,1217376000,1225670400,1225670400,1225670400,1,1,13,16,14,10,-1,1,20,3982,107514.0,27.0,1.35,13,1,-1,1445.0,-1,7303.25,210.73,1,27800,1,2747,0
12,1,9,1,1,1,1,1,-1,-1,1219363200,1223337600,1223337600,1223337600,1,1,29,63,36,30,-1,1,1,6998,160954.0,23.0,23.0,39,1,-1,5057.0,-1,44347.71,257.53,1,28710,1,2576,0
13,1,10,1,1,5,2,1,-1,1,-1,1219622400,1218672000,1218672000,2,3,22,21,18,14,8,3,30,300,7080.0,23.6,0.79,28,1,1,-1.0,1,-1.0,11.33,1,28830,1,2503,0
13,1,10,1,1,5,2,1,-1,1,-1,1219622400,1218672000,1218672000,2,2,22,36,2,22,1,2,240,40,557.6,13.94,0.06,24,2,1,-1.0,1,-1.0,0.89,1,28830,1,2503,0
12,1,9,1,1,1,1,1,-1,-1,1225065600,1232928000,1232409600,1232409600,1,1,29,63,36,30,-1,1,1,3470,79810.0,23.0,23.0,39,1,-1,2509.0,-1,19882.25,156.43,1,32630,1,3155,0
12,1,9,1,1,1,1,1,-1,-1,1225065600,1228262400,1228262400,1228262400,1,1,29,63,36,30,-1,1,1,3510,80730.0,23.0,23.0,39,1,-1,2535.0,-1,22433.91,158.23,1,32640,1,2935,0
9,1,8,1,1,4,1,1,-1,-1,1225152000,1233619200,1233619200,1233619200,1,1,30,64,37,31,-1,1,1,5000,12706.65,2.54,2.54,40,1,1,-1.0,1,-1.0,24.91,1,32660,1,3228,0
2,1,2,1,1,1,1,1,-1,-1,1225670400,1227744000,1227744000,1227744000,2,3,2,8,2,2,4,3,60,6000,17400.0,2.9,0.05,2,1,-1,581.0,-1,2653.27,34.1,1,33070,1,2888,0
13,1,10,1,1,5,2,1,-1,1,-1,1242518400,1223510400,1223510400,2,3,22,27,7,2,10,3,30,1300,20410.0,15.7,0.52,10,2,1,-1.0,1,-1.0,40.0,1,33320,1,3553,0
13,1,10,1,1,5,2,1,-1,1,-1,1242518400,1223510400,1223510400,2,2,22,20,6,13,1,5,200,120,733.2,6.11,0.03,17,2,1,-1.0,1,-1.0,1.44,1,33320,1,3553,0
13,1,10,1,1,5,2,1,-1,1,-1,1242518400,1223510400,1223510400,2,3,22,28,22,18,4,4,270,6,424.08,70.68,0.26,21,2,1,-1.0,1,-1.0,0.83,1,33320,1,3553,0
13,1,10,1,1,5,2,1,-1,1,-1,1242518400,1223510400,1223510400,2,2,22,36,2,22,1,2,240,40,540.4,13.51,0.06,24,2,1,-1.0,1,-1.0,1.06,1,33320,1,3553,0
23,1,3,1,1,1,1,1,-1,-1,1227139200,1239148800,1239148800,1239148800,1,1,14,3,3,3,-1,1,100,5751,460080.0,80.0,0.8,14,1,-1,1723.0,-1,22451.67,901.76,1,33820,1,3665,0
25,1,12,1,1,1,1,1,-1,-1,1227139200,1233014400,1233014400,1233014400,1,1,31,55,35,29,-1,1,25,3,225.0,75.0,3.0,41,1,-1,3.0,-1,963.34,0.44,1,33850,1,3110,0
16,1,11,1,1,1,1,1,-1,-1,1229990400,1235520000,1233014400,1233014400,1,1,13,16,14,10,-1,1,20,100,2700.0,27.0,1.35,13,1,-1,28.0,-1,692.38,5.29,1,36540,1,3166,0
17,1,12,1,1,1,1,1,-1,-1,1231804800,1235952000,1235952000,1235952000,1,1,7,10,9,6,-1,1,20,68,2176.0,32.0,1.6,8,1,-1,22.0,-1,1003.52,4.26,1,37060,1,3303,0
2,1,2,1,1,1,1,1,-1,-1,1232064000,1239062400,1239062400,1239062400,2,3,2,4,4,2,2,3,60,9000,21600.0,2.4,0.04,2,1,-1,2228.0,-1,9809.7,42.34,1,37160,1,3561,0
2,1,2,1,1,1,1,1,-1,-1,1232064000,1239321600,1239321600,1239321600,2,3,2,54,34,2,26,6,60,700,7805.0,11.15,0.19,2,2,-1,3509.0,-1,12835.2,15.3,1,37170,1,3562,0
18,1,3,1,1,4,1,1,-1,-1,1233619200,1239148800,1239148800,1239148800,2,3,5,39,28,24,17,6,30,25000,1260000.0,50.4,1.68,27,1,-1,2067.0,-1,7933.38,2469.6,1,37370,1,3497,0
8,1,7,1,1,1,1,1,-1,-1,1233619200,1237161600,1237161600,1237161600,1,1,14,17,15,3,-1,1,100,1680,117600.0,70.0,0.7,14,1,-1,382.0,-1,3241.06,230.5,1,38160,1,3457,0
8,1,7,1,1,1,1,1,-1,-1,1236297600,1238630400,1238630400,1238630400,2,2,2,65,6,2,18,4,100,2100,10500.0,5.0,0.05,2,1,-1,187.0,-1,1903.54,20.58,1,39970,1,3628,0
20,1,14,1,1,1,1,1,-1,-1,1236729600,1243296000,1243296000,1243296000,1,1,14,3,3,3,-1,1,100,9000,648000.0,72.0,0.72,14,1,-1,2655.0,-1,25052.69,1270.08,1,40370,1,3857,0
13,1,10,1,1,5,1,1,-1,1,-1,1237248000,1227830400,1227830400,2,2,22,66,7,2,4,4,90,176,3359.84,19.09,0.21,2,1,1,-1.0,1,-1.0,6.59,1,40780,1,3607,0
13,1,10,1,1,5,1,1,-1,1,-1,1237852800,1228089600,1228089600,2,3,22,8,2,2,4,3,60,5017,24583.3,4.9,0.08,2,1,1,-1.0,1,-1.0,48.18,1,40790,1,3575,0
13,1,10,1,1,5,1,1,-1,1,-1,1238457600,1228176000,1228176000,2,2,22,6,6,2,1,5,240,929,3390.85,3.65,0.02,2,2,1,-1.0,1,-1.0,6.65,1,40810,1,3634,0
13,1,10,1,1,5,1,1,-1,1,-1,1245715200,1233187200,1233187200,2,3,22,4,4,2,2,3,60,6700,36582.0,5.46,0.09,2,1,1,-1.0,1,-1.0,71.7,1,40860,1,3581,0
13,1,10,1,1,5,1,1,-1,1,-1,1242086400,1230595200,1230595200,2,3,22,51,6,13,8,3,60,1350,19062.0,14.12,0.24,31,2,1,-1.0,1,-1.0,37.36,1,41070,1,3625,0
13,1,10,1,1,5,1,1,-1,1,-1,1243296000,1232582400,1232582400,2,3,22,27,7,2,10,3,30,1120,16307.2,14.56,0.49,10,1,1,-1.0,1,-1.0,31.96,1,41080,1,3638,0
13,1,10,1,1,5,1,1,-1,1,-1,1238457600,1227225600,1227225600,2,3,22,31,5,15,12,4,60,100,371.0,3.71,0.06,11,2,1,-1.0,1,-1.0,0.73,1,41140,1,3752,0
13,1,10,1,1,5,1,1,-1,1,-1,1238371200,1232496000,1232496000,2,3,22,5,5,2,3,4,60,1000,2920.0,2.92,0.05,2,1,1,-1.0,1,-1.0,5.72,1,41190,1,3732,0
